,coin_name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,coin_symbol
72,dYdX (ethDYDX),634944405.4336346,-0.39174565,12.59403717,-14.06301283,3.455187866951706,575434707.4055732,ETHDYDX
73,Gala,617244284.8769022,0.71084566,-6.71712697,-0.34537895,0.023740678197785046,165030280.23060998,GALA
74,Mina,616403679.5852984,1.09396082,-5.24183588,-0.35097841,0.612782915178398,50319640.0125333,MINA
75,PancakeSwap,562342242.4169301,0.68019793,-5.83614186,-11.32171904,2.4030052410477003,199682060.02970156,CAKE
76,eCash,552887473.6409233,-0.15578011,-3.19610006,-8.16716946,2.8268129863884536e-05,10602216.10705753,XEC
77,Chiliz,534656926.4549712,0.2508898,-6.77172453,-10.27341439,0.07039522762547681,98540352.12724246,CHZ
78,Rocket Pool,534589825.35997087,0.24446968,-0.32821025,-6.23997741,27.042891072935454,4909690.21686201,RPL
79,IOTA,520731461.4676076,0.41227837,-5.00807726,-8.46769508,0.17248529808270124,10700245.44783349,IOTA
80,Conflux,519731682.07366276,0.36964483,-2.64288678,-8.34768286,0.15031639864171795,34016582.39739375,CFX
81,Frax Share,518932696.75230616,-0.39449121,-0.2325038,-11.46900066,6.8932051413428415,45939641.05977671,FXS
82,Sui,515785902.7639936,0.57824848,-3.29052417,-10.1946852,0.5341733728120012,127977191.67475834,SUI
83,ApeCoin,508998248.43069595,0.21645782,-4.80417874,-4.49582134,1.3809193683579712,88529256.49225427,APE
84,Blur,507269787.60354143,2.40503184,28.13591299,28.7826874,0.4622633979431992,537823311.6560994,BLUR
85,Arweave,507117784.917425,0.34206528,-0.69452883,3.46590563,7.747675491145829,23558546.6758856,AR
86,Curve DAO Token,506194870.19900084,1.03171677,-3.26327632,-6.24961548,0.5504502758780466,82541218.80993308,CRV
87,Gnosis,505403051.0469401,2.49831808,0.9744582,12.39406753,195.16735907292593,15218440.22286778,GNO
88,Gas,499870909.6543077,0.49659687,-6.03732772,-13.95665967,7.678175993824964,79794171.1562877,GAS
89,Tether Gold,493564353.8351789,-0.03999171,0.65381082,1.51473645,2002.0945377942062,7621765.15020896,XAUt
90,Huobi Token,474365296.37029713,-1.38274111,-3.7981704,1.35313102,2.923960159449203,42687830.8432944,HT
91,GMX,468787224.1752949,0.09682995,0.5209017,-4.75070893,50.86164269473106,43073732.73708448,GMX
92,Trust Wallet Token,465103598.12068874,1.46213674,-4.87308115,-8.40876136,1.1162935551423119,54323094.78540895,TWT
93,PAX Gold,462233967.15039253,-0.05287651,0.37417569,1.68501442,1983.9503649451126,11725757.56975942,PAXG
94,Zcash,459144895.4494848,0.63328322,-1.91988622,-6.94579399,28.119631203980816,70522051.51685596,ZEC
95,Pepe,453815599.27675617,0.26900078,-1.94037973,-9.09550156,1.0870320743111948e-06,104628636.43279482,PEPE
96,ORDI,452713374.6765646,0.45862099,5.05602379,-2.97001315,21.557779746503076,249800231.9705048,ORDI
97,Pax Dollar,447008880.18971705,-0.0066387,-0.41343637,-0.2484021,0.9973140316081924,3365230.74353921,USDP
98,Oasis Network,445403857.3800579,0.84380293,-1.28939314,-4.90409955,0.06808096089874414,51533013.05836151,ROSE
99,Fetch.ai,442964344.6530508,2.37250304,8.5848787,30.13529601,0.5455989570204931,196652250.40130737,FET
